"species","trait","class","pct"
"Detriturus jubilarius","ocelli","4_7",0
"Detriturus jubilarius","ocelli","8",0
"Detriturus jubilarius","ocelli","absent",100
"Detriturus jubilarius","pigmentation","absent",100
"Detriturus jubilarius","pigmentation","present",0
"Detriturus jubilarius","post_antennal_organ","absent",0
"Detriturus jubilarius","post_antennal_organ","present",100
"Detriturus jubilarius","reproduction","asexual",0
"Detriturus jubilarius","reproduction","sexual",100
"Detriturus jubilarius","scales","absent",100
"Detriturus jubilarius","scales","present",0
"Deuteraphorura inermis","body_shape","cylindrical",100
"Deuteraphorura inermis","body_shape","spherical",0
"Deuteraphorura inermis","furca","absent",100
"Deuteraphorura inermis","furca","present",0
"Deuteraphorura inermis","ocelli","1_3",0
"Deuteraphorura inermis","ocelli","4_7",0
"Deuteraphorura inermis","ocelli","8",0
"Deuteraphorura inermis","ocelli","absent",100
"Deuteraphorura inermis","pigmentation","absent",100
"Deuteraphorura inermis","pigmentation","present",0
"Deuteraphorura inermis","reproduction","asexual",0
"Deuteraphorura inermis","reproduction","sexual",100
"Deuteraphorura inermis","scales","absent",100
"Deuteraphorura inermis","scales","present",0
"Deuteraphorura scotaria","body_shape","cylindrical",100
"Deuteraphorura scotaria","body_shape","spherical",0
"Deuteraphorura scotaria","furca","absent",100
"Deuteraphorura scotaria","furca","present",0
"Deuteraphorura scotaria","ocelli","1_3",0
"Deuteraphorura scotaria","ocelli","4_7",0
"Deuteraphorura scotaria","ocelli","8",0
"Deuteraphorura scotaria","ocelli","absent",100
"Deuteraphorura scotaria","pigmentation","absent",100
"Deuteraphorura scotaria","pigmentation","present",0
"Deuteraphorura scotaria","post_antennal_organ","absent",0
"Deuteraphorura scotaria","post_antennal_organ","present",100
"Deuteraphorura scotaria","reproduction","asexual",0
"Deuteraphorura scotaria","reproduction","sexual",100
"Deuteraphorura scotaria","scales","absent",100
"Deuteraphorura scotaria","scales","present",0
"Dicyrtomina minuta","body_shape","cylindrical",0
"Dicyrtomina minuta","body_shape","spherical",100
"Dicyrtomina minuta","furca","absent",0
"Dicyrtomina minuta","furca","present",100
"Dicyrtomina minuta","pigmentation","absent",0
"Dicyrtomina minuta","pigmentation","present",100
"Dicyrtomina minuta","reproduction","asexual",0
"Dicyrtomina minuta","reproduction","sexual",100
"Dicyrtomina minuta","scales","absent",100
"Dicyrtomina minuta","scales","present",0
"Entomobrya lanuginosa","body_shape","cylindrical",100
"Entomobrya lanuginosa","body_shape","spherical",0
"Entomobrya lanuginosa","furca","absent",0
"Entomobrya lanuginosa","furca","present",100
"Entomobrya lanuginosa","ocelli","1_3",0
"Entomobrya lanuginosa","ocelli","4_7",0
"Entomobrya lanuginosa","ocelli","8",100
"Entomobrya lanuginosa","ocelli","absent",0
"Entomobrya lanuginosa","pigmentation","absent",0
"Entomobrya lanuginosa","pigmentation","present",100
"Entomobrya lanuginosa","post_antennal_organ","absent",0
"Entomobrya lanuginosa","post_antennal_organ","present",100
"Entomobrya lanuginosa","reproduction","asexual",0
"Entomobrya lanuginosa","reproduction","sexual",100
"Entomobrya lanuginosa","scales","absent",100
"Entomobrya lanuginosa","scales","present",0
"Entomobrya multisetis","body_shape","cylindrical",100
"Entomobrya multisetis","body_shape","spherical",0
"Entomobrya multisetis","furca","absent",0
"Entomobrya multisetis","furca","present",100
"Entomobrya multisetis","ocelli","1_3",0
"Entomobrya multisetis","ocelli","4_7",0
"Entomobrya multisetis","ocelli","8",100
"Entomobrya multisetis","ocelli","absent",0
"Entomobrya multisetis","pigmentation","absent",0
"Entomobrya multisetis","pigmentation","present",100
"Entomobrya multisetis","post_antennal_organ","absent",0
"Entomobrya multisetis","post_antennal_organ","present",100
"Entomobrya multisetis","reproduction","asexual",0
"Entomobrya multisetis","reproduction","sexual",100
"Entomobrya multisetis","scales","absent",100
"Entomobrya multisetis","scales","present",0
"Entomobrya nivalis","body_shape","cylindrical",100
"Entomobrya nivalis","body_shape","spherical",0
"Entomobrya nivalis","furca","absent",0
"Entomobrya nivalis","furca","present",100
"Entomobrya nivalis","ocelli","1_3",0
"Entomobrya nivalis","ocelli","4_7",0
"Entomobrya nivalis","ocelli","8",100
"Entomobrya nivalis","ocelli","absent",0
"Entomobrya nivalis","pigmentation","absent",0
"Entomobrya nivalis","pigmentation","present",100
"Entomobrya nivalis","post_antennal_organ","absent",100
"Entomobrya nivalis","post_antennal_organ","present",0
"Entomobrya nivalis","reproduction","asexual",0
"Entomobrya nivalis","reproduction","sexual",100
"Entomobrya nivalis","scales","absent",100
"Entomobrya nivalis","scales","present",0
"Entomobrya unostrigata","body_shape","cylindrical",100
"Entomobrya unostrigata","body_shape","spherical",0
"Entomobrya unostrigata","furca","absent",0
"Entomobrya unostrigata","furca","present",100
"Entomobrya unostrigata","ocelli","1_3",0
"Entomobrya unostrigata","ocelli","4_7",0
"Entomobrya unostrigata","ocelli","8",100
"Entomobrya unostrigata","ocelli","absent",0
"Entomobrya unostrigata","pigmentation","absent",0
"Entomobrya unostrigata","pigmentation","present",100
"Entomobrya unostrigata","post_antennal_organ","absent",100
"Entomobrya unostrigata","post_antennal_organ","present",0
"Entomobrya unostrigata","reproduction","asexual",0
"Entomobrya unostrigata","reproduction","sexual",100
"Entomobrya unostrigata","scales","absent",100
"Entomobrya unostrigata","scales","present",0
"Folsomia agrelli","body_shape","cylindrical",100
"Folsomia agrelli","body_shape","spherical",0
"Folsomia agrelli","furca","absent",0
"Folsomia agrelli","furca","present",100
"Folsomia agrelli","ocelli","1_3",100
"Folsomia agrelli","ocelli","4_7",0
"Folsomia agrelli","ocelli","8",0
"Folsomia agrelli","ocelli","absent",0
"Folsomia agrelli","pigmentation","absent",100
"Folsomia agrelli","pigmentation","present",0
"Folsomia agrelli","post_antennal_organ","absent",0
"Folsomia agrelli","post_antennal_organ","present",100
"Folsomia agrelli","reproduction","asexual",50
"Folsomia agrelli","reproduction","sexual",50
"Folsomia agrelli","scales","absent",100
"Folsomia agrelli","scales","present",0
"Folsomia candida","body_shape","cylindrical",100
"Folsomia candida","body_shape","spherical",0
"Folsomia candida","furca","absent",0
"Folsomia candida","furca","present",100
"Folsomia candida","ocelli","1_3",0
"Folsomia candida","ocelli","4_7",0
"Folsomia candida","ocelli","8",0
"Folsomia candida","ocelli","absent",100
"Folsomia candida","pigmentation","absent",100
"Folsomia candida","pigmentation","present",0
"Folsomia candida","post_antennal_organ","absent",0
"Folsomia candida","post_antennal_organ","present",100
"Folsomia candida","reproduction","asexual",100
"Folsomia candida","reproduction","sexual",0
"Folsomia candida","scales","absent",100
"Folsomia candida","scales","present",0
"Folsomia fimetarioides","body_shape","cylindrical",100
"Folsomia fimetarioides","body_shape","spherical",0
"Folsomia fimetarioides","furca","absent",0
"Folsomia fimetarioides","furca","present",100
"Folsomia fimetarioides","ocelli","1_3",0
"Folsomia fimetarioides","ocelli","4_7",0
"Folsomia fimetarioides","ocelli","8",0
"Folsomia fimetarioides","ocelli","absent",100
"Folsomia fimetarioides","pigmentation","absent",100
"Folsomia fimetarioides","pigmentation","present",0
"Folsomia fimetarioides","reproduction","asexual",0
"Folsomia fimetarioides","reproduction","sexual",100
"Folsomia fimetarioides","scales","absent",100
"Folsomia fimetarioides","scales","present",0
"Folsomia inoculata","body_shape","cylindrical",100
"Folsomia inoculata","body_shape","spherical",0
"Folsomia inoculata","furca","absent",0
"Folsomia inoculata","furca","present",100
"Folsomia inoculata","ocelli","1_3",0
"Folsomia inoculata","ocelli","4_7",0
"Folsomia inoculata","ocelli","8",0
"Folsomia inoculata","ocelli","absent",100
"Folsomia inoculata","pigmentation","absent",100
"Folsomia inoculata","pigmentation","present",0
"Folsomia inoculata","reproduction","asexual",0
"Folsomia inoculata","reproduction","sexual",100
"Folsomia inoculata","scales","absent",100
"Folsomia inoculata","scales","present",0
"Folsomia manolachei","body_shape","cylindrical",100
"Folsomia manolachei","body_shape","spherical",0
"Folsomia manolachei","furca","absent",0
"Folsomia manolachei","furca","present",100
"Folsomia manolachei","ocelli","1_3",100
"Folsomia manolachei","ocelli","4_7",0
"Folsomia manolachei","ocelli","8",0
"Folsomia manolachei","ocelli","absent",0
"Folsomia manolachei","pigmentation","absent",100
"Folsomia manolachei","pigmentation","present",0
"Folsomia manolachei","scales","absent",100
"Folsomia manolachei","scales","present",0
"Folsomia quadrioculata","body_shape","cylindrical",100
"Folsomia quadrioculata","body_shape","spherical",0
"Folsomia quadrioculata","furca","absent",0
"Folsomia quadrioculata","furca","present",100
"Folsomia quadrioculata","ocelli","1_3",100
"Folsomia quadrioculata","ocelli","4_7",0
"Folsomia quadrioculata","ocelli","8",0
"Folsomia quadrioculata","ocelli","absent",0
"Folsomia quadrioculata","pigmentation","absent",17
"Folsomia quadrioculata","pigmentation","present",83
"Folsomia quadrioculata","post_antennal_organ","absent",0
"Folsomia quadrioculata","post_antennal_organ","present",100
"Folsomia quadrioculata","reproduction","asexual",0
"Folsomia quadrioculata","reproduction","sexual",100
"Folsomia quadrioculata","scales","absent",100
"Folsomia quadrioculata","scales","present",0
"Folsomia setosa","body_shape","cylindrical",100
"Folsomia setosa","body_shape","spherical",0
"Folsomia setosa","furca","absent",0
"Folsomia setosa","furca","present",100
"Folsomia setosa","ocelli","1_3",0
"Folsomia setosa","ocelli","4_7",100
"Folsomia setosa","ocelli","8",0
"Folsomia setosa","ocelli","absent",0
"Folsomia setosa","pigmentation","absent",100
"Folsomia setosa","pigmentation","present",0
"Folsomia setosa","reproduction","asexual",0
"Folsomia setosa","reproduction","sexual",100
"Folsomia setosa","scales","absent",100
"Folsomia setosa","scales","present",0
"Folsomia sexoculata","body_shape","cylindrical",100
"Folsomia sexoculata","body_shape","spherical",0
"Folsomia sexoculata","furca","absent",0
"Folsomia sexoculata","furca","present",100
"Folsomia sexoculata","ocelli","1_3",100
"Folsomia sexoculata","ocelli","4_7",0
"Folsomia sexoculata","ocelli","8",0
"Folsomia sexoculata","ocelli","absent",0
"Folsomia sexoculata","pigmentation","absent",20
"Folsomia sexoculata","pigmentation","present",80
"Folsomia sexoculata","reproduction","asexual",0
"Folsomia sexoculata","reproduction","sexual",100
"Folsomia sexoculata","scales","absent",100
"Folsomia sexoculata","scales","present",0
"Folsomia similis","body_shape","cylindrical",100
"Folsomia similis","body_shape","spherical",0
"Folsomia similis","furca","absent",0
"Folsomia similis","furca","present",100
"Folsomia similis","ocelli","1_3",100
"Folsomia similis","ocelli","4_7",0
"Folsomia similis","ocelli","8",0
"Folsomia similis","ocelli","absent",0
"Folsomia similis","pigmentation","absent",100
"Folsomia similis","pigmentation","present",0
"Folsomia similis","post_antennal_organ","absent",0
"Folsomia similis","post_antennal_organ","present",100
"Folsomia similis","reproduction","asexual",0
"Folsomia similis","reproduction","sexual",100
"Folsomia similis","scales","absent",100
"Folsomia similis","scales","present",0
"Folsomia spinosa","body_shape","cylindrical",100
"Folsomia spinosa","body_shape","spherical",0
"Folsomia spinosa","furca","absent",0
"Folsomia spinosa","furca","present",100
"Folsomia spinosa","ocelli","1_3",0
"Folsomia spinosa","ocelli","4_7",0
"Folsomia spinosa","ocelli","8",0
"Folsomia spinosa","ocelli","absent",100
"Folsomia spinosa","pigmentation","absent",25
"Folsomia spinosa","pigmentation","present",75
"Folsomia spinosa","post_antennal_organ","absent",0
"Folsomia spinosa","post_antennal_organ","present",100
"Folsomia spinosa","reproduction","asexual",100
"Folsomia spinosa","reproduction","sexual",0
"Folsomia spinosa","scales","absent",100
"Folsomia spinosa","scales","present",0
"Folsomides parvulus","body_shape","cylindrical",100
"Folsomides parvulus","body_shape","spherical",0
"Folsomides parvulus","furca","absent",0
"Folsomides parvulus","furca","present",100
"Folsomides parvulus","ocelli","1_3",100
"Folsomides parvulus","ocelli","4_7",0
"Folsomides parvulus","ocelli","8",0
"Folsomides parvulus","ocelli","absent",0
"Folsomides parvulus","pigmentation","absent",75
"Folsomides parvulus","pigmentation","present",25
"Folsomides parvulus","post_antennal_organ","absent",0
"Folsomides parvulus","post_antennal_organ","present",100
"Folsomides parvulus","reproduction","asexual",100
"Folsomides parvulus","reproduction","sexual",0
"Folsomides parvulus","scales","absent",100
"Folsomides parvulus","scales","present",0
"Friesea claviseta","body_shape","cylindrical",100
"Friesea claviseta","body_shape","spherical",0
"Friesea claviseta","furca","absent",0
"Friesea claviseta","furca","present",100
"Friesea claviseta","ocelli","1_3",0
"Friesea claviseta","ocelli","4_7",0
"Friesea claviseta","ocelli","8",100
"Friesea claviseta","ocelli","absent",0
"Friesea claviseta","pigmentation","absent",0
"Friesea claviseta","pigmentation","present",100
"Friesea claviseta","post_antennal_organ","absent",100
"Friesea claviseta","post_antennal_organ","present",0
"Friesea claviseta","reproduction","asexual",0
"Friesea claviseta","reproduction","sexual",100
"Friesea claviseta","scales","absent",100
"Friesea claviseta","scales","present",0
"Friesea truncata","body_shape","cylindrical",100
"Friesea truncata","body_shape","spherical",0
"Friesea truncata","furca","absent",0
"Friesea truncata","furca","present",100
"Friesea truncata","ocelli","1_3",0
"Friesea truncata","ocelli","4_7",0
"Friesea truncata","ocelli","8",100
