"uri","id","prefLabel","top","depth","broader","definition","scopeNote"
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_MTV2M1PJD6-9","348","Moderately_alkaline","Ecological_preference",5,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_4WWBQTRJKR-1","From 7.9 to 8.4 (Soil Survey Division Staff. Soil survey manual.1993. Chapter 3)","attribute"
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_PCTKCQ1VFH-H","351","Neutral","Ecological_preference",5,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_4WWBQTRJKR-1","From 6.6 to 7.3 (Soil Survey Division Staff. Soil survey manual.1993. Chapter 3)","attribute"
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_XBL3VGFTP8-S","347","Slightly_acidic","Ecological_preference",5,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_4WWBQTRJKR-1","From 6.1 to 6.5 (Soil Survey Division Staff. Soil survey manual.1993. Chapter 3)","attribute"
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_V8W8GRFLJ3-X","344","Slightly_alkaline","Ecological_preference",5,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_4WWBQTRJKR-1","From 7.4 to 7.8 (Soil Survey Division Staff. Soil survey manual.1993. Chapter 3)","attribute"
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_5V8JCD67H2-H","342","Strongly_acidic","Ecological_preference",5,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_4WWBQTRJKR-1","From 5.1 to 5.5 (Soil Survey Division Staff. Soil survey manual.1993. Chapter 3)","attribute"
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_7R35B08M4D-J","343","Strongly_alkaline","Ecological_preference",5,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_4WWBQTRJKR-1","From 8.5 to 9 (Soil Survey Division Staff. Soil survey manual.1993. Chapter 3)","attribute"
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_NCR2JDB1GT-5","346","Ultra_acidic","Ecological_preference",5,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_4WWBQTRJKR-1","Inf. 3.5 (Soil Survey Division Staff. Soil survey manual.1993. Chapter 3)","attribute"
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_W3BQ2QH1HX-C","349","Very_strongly_acidic","Ecological_preference",5,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_4WWBQTRJKR-1","From 4.5 to 5.0 (Soil Survey Division Staff. Soil survey manual.1993. Chapter 3)","attribute"
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_JP0755QPHL-X","350","Very_strongly_alkaline","Ecological_preference",5,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_4WWBQTRJKR-1","Sup. 9 (Soil Survey Division Staff. Soil survey manual.1993. Chapter 3)","attribute"
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_2HH2DKLT1F-J","2","Trait","Trait",0,,"Any morphological, physiological or phenological feature  measurable at the individual level, from the cellular level to the  whole organism (Violle et al. 2007) (Violle et al. 2007)",
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_4X86LRTC3M-6","19","Behaviour","Trait",1,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_2HH2DKLT1F-J","Any active response resulting of a neural integration, which allows an animal to be adapted to environmental variations.",
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_K31M9BMJQV-V","89","Morphology","Trait",1,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_2HH2DKLT1F-J","Morphology of an individual",
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_Q65P3NBBH6-F","213","Phenology","Trait",1,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_2HH2DKLT1F-J",,
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_7D7HWNKLHN-C","3","Physiology","Trait",1,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_2HH2DKLT1F-J",,
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_W1NKW7X0D3-8","220","Adult_activity","Trait",2,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_Q65P3NBBH6-F","The progressive production of the phenotypic characteristics of an organism. (Maggenti and Maggenti, 2005)","Time"
